state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S113,124,Kollam,കൊല്ലം,Kollam,South Keralam,Q48733036,ADV. BINDHU KRISHNA,Indian National Congress,S. JAYAMOHAN,Communist Party of India (Marxist),10085,9/14,Result in Progress,2026-05-04 11:37:53
S113,33,Kondotty,കൊണ്ടോട്ടി,Malappuram,North Keralam,Q16135092,T.P. ASHRAFALI,Indian Union Muslim League,DR. P. JIJI,Communist Party of India (Marxist),9077,4/18,Result in Progress,2026-05-04 11:37:53
S113,53,Kongad,കോങ്ങാട്,Palakkad,Centeral Keralam,Q13111675,THULASI TEACHER,Indian National Congress,ADV. K.SANTHAKUMARI,Communist Party of India (Marxist),9569,4/10,Result in Progress,2026-05-04 11:37:53
S113,114,Konni,കോന്നി,Pathanamthitta,South Keralam,Q20577849,ADV K U JENISH KUMAR,Communist,PROF SATHEESH KOCHUPARAMBIL,Indian National Congress,562,4/17,Result in Progress,2026-05-04 11:37:53
S113,87,Kothamangalam,കോതമംഗലം,Ernakulam,Centeral Keralam,Q16135561,SHIBU THECKUMPURAM,Kerala Congress,ANTONY JOHN,Communist Party of India (Marxist),5945,5/14,Result in Progress,2026-05-04 11:37:53
S113,46,Kottakkal,കോട്ടക്കൽ,Malappuram,North Keralam,Q13111682,PROF. ABID HUSSAIN THANGAL,Indian Union Muslim League,PREETHI KONCHATH,Communist Party of India (Marxist),12499,3/18,Result in Progress,2026-05-04 11:37:53
S113,119,Kottarakkara,കൊട്ടാരക്കര,Kollam,South Keralam,Q13111616,K.N. BALAGOPAL,Communist,ADV.P. AISHA POTTY,Indian National Congress,143,4/15,Result in Progress,2026-05-04 11:37:53
S113,97,Kottayam,കോട്ടയം,Kottayam,Centeral Keralam,Q13111688,THIRUVANCHOOR RADHAKRISHNAN,Indian National Congress,ADV.K. ANILKUMAR,Communist Party of India (Marxist),16911,6/14,Result in Progress,2026-05-04 11:37:53
S113,139,Kovalam,കോവളം,Thiruvananthapuram,South Keralam,Q13111733,ADV. M.VINCENT,Indian National Congress,BHAGATH RUFUS,Independent,6520,6/20,Result in Progress,2026-05-04 11:37:53
S114,27,Kozhikode North,കോഴിക്കോട് നോർത്ത്,Kozhikode,North Keralam,Q13111729,THOTTATHIL RAVINDRAN,Communist,ADV.K JAYANTH,Indian National Congress,412,6/14,Result in Progress,2026-05-04 11:37:53
S114,28,Kozhikode South,കോഴിക്കോട് തെക്ക്,Kozhikode,North Keralam,Q24204696,ADV. FYZAL BABU,Indian Union Muslim League,AHAMMAD DEVARKOVIL,Indian National League,4545,4/12,Result in Progress,2026-05-04 11:37:53
S114,123,Kundara,കുണ്ടറ,Kollam,South Keralam,Q13111296,P. C. VISHNUNADH,Indian National Congress,S. L. SAJIKUMAR,Communist Party of India (Marxist),10877,6/17,Result in Progress,2026-05-04 11:37:53
S114,30,Kunnamangalam,കുന്ദമംഗലം,Kozhikode,North Keralam,Q13111313,M.A. RAZAK MASTER,Indian Union Muslim League,ADV. P T A RAHIM,Independent,6918,5/19,Result in Progress,2026-05-04 11:37:53
S114,62,Kunnamkulam,കുന്നംകുളം,Thrissur,Centeral Keralam,Q13111317,A C MOIDEEN,Communist,P T AJAY MOHAN,Indian National Congress,3652,7/15,Result in Progress,2026-05-04 11:37:53
S114,84,Kunnathunad,കുന്നത്തുനാട്,Ernakulam,Centeral Keralam,Q13111319,V. P. SAJEENDRAN,Indian National Congress,ADV. P. V. SREENIJIN,Communist Party of India (Marxist),7961,6/16,Result in Progress,2026-05-04 11:37:53
S114,118,Kunnathur,കുന്നത്തൂർ,Kollam,South Keralam,Q17414812,ULLAS KOVUR,Revolutionary Socialist,KOVOOR KUNJUMON,Kerala Revolutionary Socialist Party (Leninist- Marxist),11230,8/17,Result in Progress,2026-05-04 11:37:53
S114,14,Kuthuparamba,കൂത്തുപറമ്പ്,Kannur,North Keralam,Q17379603,P K PRAVEEN,Rashtriya Janata Dal,JAYANTHI RAJAN,Indian Union Muslim League,9491,6/16,Result in Progress,2026-05-04 11:37:53
